#,Ítem,Nick,Ciudad / Región,Restricciones en el envío
294,Wings of Glory: WW2 Rules and Accessories Pack - Desprecintado sólo para ver el contenido. Sin destroquelar. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala. ,jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
295,Wings of War: Flight of the Giants - Usado sólo 1-2 veces. Completo y en excelentes condiciones. Con reglas traducidas. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala,jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
296,PACK: Barcos Sails of Glory   Sails of Glory Ship Pack: HMS Royal Sovereign 1786 / HMS Brittania 1762 (Desprecintado sólo para ver que la mini estaba bien. Tablero y cartas aún precintados. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala.) + Sails of Glory Ship Pack: HMS Sybille 1794 / HMS Amelia 1796 (Desprecintado sólo para ver que la mini estaba bien. Tablero y cartas aún precintados. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala.) + Sails of Glory Ship Pack: Imperial 1803 / Republique Francaise 1802 (Desprecintado sólo para ver que la mini estaba bien. Tablero y cartas aún precintados. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala.) + Sails of Glory Ship Pack: Thorn 1779 / USS Atlanta 1781 (Desprecintado sólo para ver que la mini estaba bien. Tablero y cartas aún precintados. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala.),jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
297,PACK: Thurn und Taxis + Expansión   Thurn und Taxis (Usado. En buen estado. Con reglas en castellano. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala) + Thurn und Taxis: Glanz und Gloria (Usado. En buen estado. Con reglas en castellano. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala),jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
298,Android: Netrunner – Estudio en estática - (EDGE. Castellano) Proveniente de una Mathtrade anterior. No jugado.,Aingeru,Bilbao,kiala
299,"For Sale - (Überpaly. Ingles con reglas en castellano, no dependiente del idioma)",Aingeru,Bilbao,kiala
300,Los Descubridores de Catán - (Logojogos. Primera edicion en Castellano) Todos los componentes en bolsas zip. Ganado en un campeonato de Catan.,Aingeru,Bilbao,kiala
301,"Oltre Mare - (AMIGO Spiel. Alemán con reglas en castellano, no dependiente del idioma) Proveniente de una Mathtrade anterior.",Aingeru,Bilbao,kiala
302,"Zauberschwert & Drachenei - (Adlung Spiele. Ingles con reglas en castellano, no dependiente del idioma) Sin estrenar.",Aingeru,Bilbao,kiala
303,"Ants! - Como nuevo, sin uso",tomol,Murcia / Alicante,kiala
304,"Asteroyds - Como nuevo, una partida.",tomol,Murcia / Alicante,kiala
305,"Atmosfear: The DVD Board Game - Señales de uso, completo",tomol,Murcia / Alicante,kiala
306,"Beowulf - En buen estado, una partida",tomol,Murcia / Alicante,kiala
307,"Pack Baila Burro¡: Burrows - Una partida, como nuevo + Crazy Dancing - Sin uso, como nuevo",tomol,Murcia / Alicante,kiala
308,Dark Darker Darkest - Solo desprecintado,tomol,Murcia / Alicante,kiala
309,"Das Verrückte Labyrinth - Como nuevo, una partida",tomol,Murcia / Alicante,kiala
310,"Felinia - Como nuevo, sin estrenar",tomol,Murcia / Alicante,kiala
